Session ID,Capture Timestamp,Relative Time (s),Emotion,Confidence
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.77
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.62
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.58
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.75
Session_1753410568,2025-07-25 12:26:52,11,neutral,0.67
Session_1753410568,2025-07-25 12:26:52,11,neutral,0.62
Session_1753410568,2025-07-25 12:26:52,12,neutral,0.69
Session_1753410568,2025-07-25 12:26:52,12,neutral,0.58
Session_1753410568,2025-07-25 12:26:52,12,angry,0.68
Session_1753410568,2025-07-25 12:26:52,12,angry,0.85
Session_1753410568,2025-07-25 12:26:52,12,angry,0.9
Session_1753410568,2025-07-25 12:26:52,12,angry,0.91
Session_1753410568,2025-07-25 12:26:52,12,angry,0.97
Session_1753410568,2025-07-25 12:26:52,12,angry,0.98
Session_1753410568,2025-07-25 12:26:52,12,angry,0.96
Session_1753410568,2025-07-25 12:26:52,12,angry,0.86
Session_1753410568,2025-07-25 12:26:52,12,angry,0.8
Session_1753410568,2025-07-25 12:26:52,12,angry,0.91
Session_1753410568,2025-07-25 12:26:52,12,angry,0.7
Session_1753410568,2025-07-25 12:26:53,12,angry,0.71
Session_1753410568,2025-07-25 12:26:53,12,angry,0.62
Session_1753410568,2025-07-25 12:26:53,13,angry,0.58
Session_1753410568,2025-07-25 12:26:53,13,angry,0.5
Session_1753410568,2025-07-25 12:26:53,13,angry,0.47
Session_1753410568,2025-07-25 12:26:53,13,neutral,0.48
Session_1753410568,2025-07-25 12:26:53,13,angry,0.49
Session_1753410568,2025-07-25 12:26:53,13,neutral,0.56
Session_1753410568,2025-07-25 12:26:53,13,angry,0.41
Session_1753410568,2025-07-25 12:26:53,13,angry,0.45
Session_1753410568,2025-07-25 12:26:53,13,angry,0.74
Session_1753410568,2025-07-25 12:26:53,13,angry,0.83
Session_1753410568,2025-07-25 12:26:53,13,angry,0.83
Session_1753410568,2025-07-25 12:26:53,13,neutral,0.44
Session_1753410568,2025-07-25 12:26:53,13,neutral,0.53
Session_1753410568,2025-07-25 12:26:54,13,neutral,0.68
Session_1753410568,2025-07-25 12:26:54,13,neutral,0.63
Session_1753410568,2025-07-25 12:26:54,14,neutral,0.61
Session_1753410568,2025-07-25 12:26:54,14,neutral,0.61
Session_1753410568,2025-07-25 12:26:54,14,angry,0.83
Session_1753410568,2025-07-25 12:26:54,14,angry,0.84
Session_1753410568,2025-07-25 12:26:54,14,angry,0.85
Session_1753410568,2025-07-25 12:26:54,14,angry,0.87
Session_1753410568,2025-07-25 12:26:54,14,angry,0.88
Session_1753410568,2025-07-25 12:26:54,14,angry,0.78
Session_1753410568,2025-07-25 12:26:54,14,angry,0.76
Session_1753410568,2025-07-25 12:26:54,14,angry,0.7
Session_1753410568,2025-07-25 12:26:54,14,angry,0.65
Session_1753410568,2025-07-25 12:26:54,14,neutral,0.44
Session_1753410568,2025-07-25 12:26:54,14,neutral,0.4
Session_1753410568,2025-07-25 12:26:55,14,neutral,0.51
Session_1753410568,2025-07-25 12:26:55,14,neutral,0.49
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.66
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.68
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.76
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.7
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.74
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.54
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.68
